weather_id,time,temperature,humidity,dew_point,wind_dir,wind_spd,uv_idx,visibility,cloudiness,ceiling,pressure,precip_1h
13,2020-10-01 00:00:00,16.2,93.0,15.0,45.0,6.5,0.0,16.1,25.0,9144.0,1009.7,0.0
13,2020-10-01 01:01:00,15.8,87.0,13.7,0.0,0.0,0.0,8.0,25.0,9144.0,1011.4,0.0
13,2020-10-01 02:01:00,15.5,95.0,14.6,45.0,3.6,0.0,14.5,87.0,9144.0,1009.9,0.0
13,2020-10-01 03:00:00,15.2,96.0,14.6,135.0,5.1,0.0,11.3,99.0,9144.0,1010.2,0.0
13,2020-10-01 04:00:00,15.0,90.0,13.3,0.0,0.0,0.0,6.4,88.0,9144.0,1012.4,0.0
13,2020-10-01 05:00:00,14.8,97.0,14.3,113.0,5.4,0.0,11.3,61.0,9144.0,1014.8,0.0
13,2020-10-01 06:02:00,14.4,96.0,13.7,113.0,5.8,0.0,12.9,66.0,549.0,1014.8,0.0
13,2020-10-01 07:01:00,15.1,87.0,12.9,0.0,0.0,1.0,4.8,76.0,9144.0,1012.8,0.0
13,2020-10-01 08:01:00,17.3,82.0,14.2,135.0,5.7,1.0,12.9,100.0,9144.0,1015.6,0.0
13,2020-10-01 09:00:00,20.0,72.0,15.0,90.0,5.7,2.0,14.5,82.0,9144.0,1011.9,0.0
13,2020-10-01 10:00:00,22.1,70.0,16.4,0.0,0.0,2.0,8.0,88.0,9144.0,1014.1,0.0
13,2020-10-01 11:01:00,23.7,59.0,15.3,203.0,7.1,3.0,16.1,81.0,9144.0,1012.2,0.0
13,2020-10-01 12:00:00,23.7,58.0,15.1,225.0,9.0,3.0,16.1,57.0,1494.0,1012.3,0.0
13,2020-10-01 13:01:00,24.8,53.0,14.5,338.0,3.7,3.0,16.1,50.0,1494.0,1013.4,0.0
13,2020-10-01 14:00:00,25.8,52.0,15.3,203.0,12.7,3.0,16.1,45.0,1494.0,1016.1,0.0
13,2020-10-01 15:00:00,25.0,56.0,15.6,248.0,10.2,2.0,16.1,28.0,1494.0,1015.2,0.0
13,2020-10-01 16:00:00,23.9,59.0,15.5,158.0,11.1,2.0,16.1,0.0,9144.0,1011.5,0.0
13,2020-10-01 17:00:00,23.4,58.0,14.9,248.0,12.7,1.0,16.1,28.0,9144.0,1015.0,0.0
13,2020-10-01 18:01:00,21.3,69.0,15.5,270.0,14.5,0.0,16.1,12.0,9144.0,1015.2,0.0
13,2020-10-01 19:02:00,20.5,73.0,15.6,180.0,5.6,0.0,19.3,38.0,9144.0,1012.7,0.0
13,2020-10-01 20:01:00,18.9,77.0,14.8,293.0,6.3,0.0,16.1,31.0,9144.0,1016.2,0.0
13,2020-10-01 21:00:00,17.8,81.0,14.6,270.0,3.9,0.0,16.1,87.0,9144.0,1016.2,0.0
13,2020-10-01 22:01:00,17.1,95.0,16.3,0.0,1.9,0.0,12.9,76.0,9144.0,1014.5,0.0
13,2020-10-01 23:02:00,16.4,91.0,15.0,113.0,5.2,0.0,14.5,49.0,9144.0,1017.1,0.0
13,2020-10-02 00:01:00,15.9,94.0,14.9,113.0,5.2,0.0,14.5,32.0,9144.0,1017.1,0.0
13,2020-10-02 01:00:00,15.3,99.0,15.1,0.0,0.0,0.0,9.7,50.0,9144.0,1015.0,0.0
13,2020-10-02 02:00:00,14.9,100.0,14.9,113.0,5.4,0.0,14.5,4.0,9144.0,1013.1,0.0
13,2020-10-02 03:00:00,14.7,100.0,14.7,90.0,4.1,0.0,14.5,11.0,9144.0,1017.2,0.0
13,2020-10-02 04:00:00,14.3,98.0,14.0,0.0,0.0,0.0,8.0,25.0,9144.0,1015.2,0.0
13,2020-10-02 05:02:00,14.0,100.0,14.0,90.0,6.2,0.0,12.9,74.0,9144.0,1017.1,0.0
13,2020-10-02 06:00:00,14.2,100.0,14.2,135.0,6.2,0.0,12.9,31.0,9144.0,1017.7,0.0
13,2020-10-02 07:00:00,14.3,98.0,14.0,0.0,0.0,1.0,4.8,63.0,9144.0,1015.4,0.0
13,2020-10-02 08:00:00,16.8,85.0,14.3,90.0,6.9,2.0,12.9,18.0,9144.0,1017.5,0.0
13,2020-10-02 09:00:00,20.2,77.0,16.0,113.0,5.4,3.0,14.5,37.0,9144.0,1018.3,0.0
13,2020-10-02 10:00:00,22.3,76.0,17.8,0.0,0.0,4.0,16.1,38.0,9144.0,1015.9,0.0
13,2020-10-02 11:01:00,23.5,68.0,17.2,180.0,9.6,5.0,16.1,53.0,9144.0,1018.4,0.0
13,2020-10-02 12:00:00,24.4,59.0,15.8,203.0,13.5,3.0,16.1,53.0,1036.0,1018.3,0.0
13,2020-10-02 13:01:00,25.2,52.0,14.8,203.0,3.7,4.0,19.3,76.0,9144.0,1014.6,0.0
13,2020-10-02 14:00:00,26.2,50.0,15.1,225.0,14.3,4.0,16.1,43.0,9144.0,1017.4,0.0
13,2020-10-02 15:00:00,25.7,52.0,15.2,225.0,13.9,2.0,16.1,51.0,5791.0,1017.2,0.0
13,2020-10-02 16:01:00,22.8,59.0,14.4,248.0,14.8,2.0,19.3,63.0,7498.0,1013.1,0.0
13,2020-10-02 17:00:00,22.8,65.0,16.0,270.0,12.2,1.0,16.1,37.0,9144.0,1016.3,0.0
13,2020-10-02 18:01:00,22.4,65.0,15.5,270.0,10.6,0.0,16.1,40.0,9144.0,1016.8,0.0
13,2020-10-02 19:00:00,21.3,74.0,16.4,270.0,7.4,0.0,19.3,76.0,9144.0,1014.2,0.0
13,2020-10-02 20:00:00,19.8,77.0,15.7,270.0,6.9,0.0,16.1,88.0,9144.0,1017.3,0.0
13,2020-10-02 21:00:00,18.6,85.0,16.0,225.0,5.0,0.0,16.1,100.0,5822.0,1018.2,0.0
13,2020-10-02 22:01:00,17.7,90.0,16.0,0.0,0.0,0.0,12.9,76.0,5822.0,1015.1,0.0
13,2020-10-02 23:00:00,17.0,94.0,16.0,135.0,5.0,0.0,14.5,100.0,5822.0,1019.3,0.0
13,2020-10-03 00:00:00,16.5,99.0,16.4,135.0,4.7,0.0,12.9,98.0,5822.0,1015.0,0.0
13,2020-10-03 01:01:00,17.0,95.0,16.1,113.0,1.9,0.0,9.7,100.0,5822.0,1015.9,0.0
13,2020-10-03 02:00:00,16.5,100.0,16.5,90.0,5.4,0.0,12.9,99.0,5791.0,1014.6,0.1
13,2020-10-03 03:00:00,16.4,100.0,16.4,90.0,5.7,0.0,11.3,100.0,4359.0,1015.0,0.8
13,2020-10-03 04:00:00,17.0,94.0,16.1,0.0,1.9,0.0,9.7,100.0,4359.0,1015.3,0.0
13,2020-10-03 05:00:00,16.8,100.0,16.8,135.0,6.8,0.0,11.3,100.0,3109.0,1019.4,1.2
13,2020-10-03 06:00:00,16.7,87.0,14.5,113.0,6.6,0.0,24.1,100.0,3109.0,1015.8,0.3
13,2020-10-03 07:00:00,16.8,88.0,14.9,338.0,5.6,0.0,11.3,100.0,4359.0,1015.8,0.0
13,2020-10-03 08:00:00,18.1,92.0,16.8,113.0,5.7,1.0,12.9,100.0,4359.0,1019.6,0.0
13,2020-10-03 09:01:00,20.2,86.0,17.8,113.0,4.9,2.0,12.9,51.0,4359.0,1019.6,0.0
13,2020-10-03 10:00:00,22.4,67.0,16.0,158.0,1.9,1.0,14.5,100.0,4359.0,1016.3,0.0
13,2020-10-03 11:00:00,24.1,67.0,17.8,90.0,4.0,5.0,16.1,22.0,4359.0,1019.6,0.0
13,2020-10-03 12:00:00,25.5,63.0,17.9,203.0,4.2,3.0,14.5,71.0,4359.0,1019.7,0.0
13,2020-10-03 13:01:00,25.0,56.0,15.8,248.0,11.1,2.0,17.7,76.0,2012.0,1014.3,0.0
13,2020-10-03 14:00:00,25.7,60.0,17.5,225.0,8.1,3.0,16.1,14.0,2012.0,1018.1,0.0
13,2020-10-03 15:00:00,25.4,62.0,17.6,248.0,7.0,3.0,16.1,36.0,9144.0,1017.0,0.0
13,2020-10-03 16:01:00,23.3,63.0,15.9,248.0,9.3,2.0,19.3,0.0,9144.0,1012.1,0.0
13,2020-10-03 17:00:00,23.3,71.0,17.8,293.0,10.0,1.0,16.1,47.0,9144.0,1016.6,0.0
13,2020-10-03 18:00:00,22.6,71.0,17.2,293.0,10.0,0.0,16.1,64.0,9144.0,1016.5,0.0
13,2020-10-03 19:00:00,21.8,79.0,18.1,248.0,1.9,0.0,12.9,88.0,7498.0,1013.1,0.0
13,2020-10-03 20:02:00,21.3,78.0,17.4,315.0,6.6,0.0,16.1,100.0,7498.0,1017.1,0.0
13,2020-10-03 21:00:00,20.6,81.0,17.3,338.0,5.8,0.0,16.1,100.0,7529.0,1016.7,0.0
13,2020-10-03 22:00:00,20.0,82.0,16.9,270.0,3.7,0.0,12.9,100.0,7498.0,1013.7,0.0
13,2020-10-03 23:01:00,19.4,88.0,17.3,68.0,3.1,0.0,12.9,99.0,7498.0,1017.0,0.0
13,2020-10-04 00:00:00,18.9,91.0,17.3,135.0,4.5,0.0,12.9,80.0,7498.0,1017.0,0.1
13,2020-10-04 01:02:00,18.5,94.0,17.5,0.0,0.0,0.0,9.7,100.0,7498.0,1014.0,1.0
13,2020-10-04 02:00:00,18.2,98.0,17.9,0.0,2.4,0.0,9.7,100.0,5791.0,1017.0,0.2
13,2020-10-04 03:02:00,17.9,100.0,17.9,90.0,3.4,0.0,9.7,97.0,549.0,1017.0,0.2
13,2020-10-04 04:00:00,17.5,98.0,17.2,0.0,0.0,0.0,4.8,100.0,4328.0,1013.2,0.7
13,2020-10-04 05:00:00,17.3,100.0,17.3,135.0,3.2,0.0,9.7,100.0,4328.0,1016.1,1.1
13,2020-10-04 06:00:00,17.6,100.0,17.6,203.0,3.6,0.0,9.7,100.0,4328.0,1015.6,0.0
13,2020-10-04 07:00:00,17.8,95.0,17.0,0.0,0.0,0.0,4.8,100.0,4328.0,1012.7,1.4
13,2020-10-04 08:01:00,19.0,89.0,17.3,68.0,3.1,0.0,11.3,98.0,2012.0,1016.2,0.0
13,2020-10-04 09:01:00,20.5,84.0,17.8,0.0,2.8,1.0,11.3,100.0,2012.0,1015.5,0.0
13,2020-10-04 10:01:00,21.7,79.0,18.0,0.0,0.0,1.0,8.0,100.0,4328.0,1012.3,0.0
13,2020-10-04 11:01:00,22.6,74.0,17.7,225.0,4.9,2.0,14.5,98.0,4328.0,1015.9,0.0
13,2020-10-04 12:00:00,23.6,72.0,18.3,225.0,7.8,2.0,9.7,100.0,4328.0,1015.6,0.0
13,2020-10-04 13:01:00,22.9,70.0,17.2,315.0,9.3,2.0,14.5,100.0,5761.0,1010.9,0.0
13,2020-10-04 14:00:00,21.1,75.0,16.6,315.0,13.1,2.0,11.3,100.0,9144.0,1013.8,0.3
13,2020-10-04 15:01:00,21.0,74.0,16.2,293.0,12.7,1.0,12.9,100.0,9144.0,1014.0,0.3
13,2020-10-04 16:00:00,20.8,80.0,17.2,293.0,9.3,0.0,8.0,100.0,518.0,1009.7,0.1
13,2020-10-04 17:01:00,20.5,72.0,15.3,293.0,15.6,0.0,16.1,100.0,9144.0,1014.1,0.0
13,2020-10-04 18:00:00,18.7,82.0,15.5,293.0,16.4,0.0,16.1,100.0,7437.0,1014.3,0.0
13,2020-10-04 19:02:00,17.6,86.0,15.2,315.0,11.1,0.0,12.9,100.0,7437.0,1010.6,0.0
13,2020-10-04 20:00:00,17.8,77.0,13.7,315.0,21.2,0.0,14.5,99.0,7437.0,1015.2,0.0
13,2020-10-04 21:00:00,17.2,72.0,12.1,338.0,23.8,0.0,16.1,94.0,7437.0,1014.6,0.0
13,2020-10-04 22:00:00,15.6,91.0,14.2,338.0,5.6,0.0,14.5,100.0,7437.0,1011.3,0.0
13,2020-10-04 23:02:00,13.6,75.0,9.3,338.0,18.3,0.0,16.1,100.0,7437.0,1011.3,0.0
13,2020-10-05 00:00:00,12.4,77.0,8.5,0.0,20.1,0.0,16.1,100.0,7437.0,1010.8,0.0
13,2020-10-05 01:00:00,12.1,76.0,8.0,293.0,5.6,0.0,19.3,100.0,9144.0,1013.9,0.0
13,2020-10-05 02:00:00,11.2,76.0,7.2,0.0,15.5,0.0,16.1,96.0,9144.0,1010.6,0.0
13,2020-10-05 03:02:00,11.2,78.0,7.6,0.0,14.7,0.0,16.1,98.0,9144.0,1011.0,0.0
13,2020-10-05 04:00:00,10.9,78.0,7.2,293.0,9.3,0.0,20.9,88.0,9144.0,1015.3,0.0
13,2020-10-05 05:00:00,10.2,77.0,6.3,23.0,11.5,0.0,16.1,2.0,9144.0,1012.1,0.0
