,time,temperature,humidity,dew_point,wind_dir,wind_spd,uv_idx,visibility,cloudiness,ceiling,precip_prob,precip_1h,predict
0,2022-11-10 20:00:00,8.33333,87.0,6.66667,347.0,3.70149,0.0,1.62544,0.0,9144.0,0.0,0.0,1.5409517
1,2022-11-10 21:00:00,10.0,89.0,7.77778,16.0,3.70149,0.0,1.62544,0.0,9144.0,0.0,0.0,0.77920467
2,2022-11-10 22:00:00,10.5556,92.0,8.88889,49.0,3.70149,0.0,1.62544,0.0,9144.0,0.0,0.0,0.6785287
3,2022-11-10 23:00:00,11.1111,90.0,10.0,75.0,5.6327,1.0,1.62544,0.0,9144.0,0.0,0.0,25.235924
4,2022-11-11 00:00:00,13.3333,81.0,10.0,87.0,5.6327,2.0,1.62544,0.0,9144.0,0.0,0.0,36.220333
5,2022-11-11 01:00:00,15.5556,70.0,10.0,99.0,7.40298,2.0,1.62544,0.0,9144.0,0.0,0.0,42.9216
6,2022-11-11 02:00:00,16.6667,63.0,10.0,117.0,7.40298,3.0,1.62544,0.0,9144.0,0.0,0.0,60.05116
7,2022-11-11 03:00:00,18.3333,56.0,9.44444,129.0,7.40298,3.0,1.62544,0.0,9144.0,0.0,0.0,65.366295
8,2022-11-11 04:00:00,19.4444,48.0,8.33333,140.0,7.40298,3.0,1.62544,2.0,9144.0,0.0,0.0,65.374146
9,2022-11-11 05:00:00,20.5556,43.0,7.77778,159.0,7.40298,2.0,1.62544,3.0,9144.0,0.0,0.0,58.51589
10,2022-11-11 06:00:00,20.0,48.0,8.33333,176.0,7.40298,2.0,1.62544,5.0,9144.0,0.0,0.0,57.656345
11,2022-11-11 07:00:00,18.3333,53.0,8.88889,189.0,7.40298,1.0,1.62544,11.0,9144.0,0.0,0.0,46.820602
12,2022-11-11 08:00:00,16.6667,61.0,9.44444,215.0,3.70149,0.0,1.62544,16.0,9144.0,0.0,0.0,0.6094944
13,2022-11-11 09:00:00,15.0,67.0,8.88889,250.0,1.93121,0.0,1.62544,22.0,9144.0,0.0,0.0,0.7478686
14,2022-11-11 10:00:00,13.8889,74.0,9.44444,153.0,3.70149,0.0,1.62544,16.0,9144.0,0.0,0.0,0.28494924
15,2022-11-11 11:00:00,13.8889,74.0,8.88889,90.0,3.70149,0.0,16.0934,9.0,9144.0,0.0,0.0,-0.013506255
16,2022-11-11 12:00:00,13.3333,73.0,8.33333,93.0,3.70149,0.0,16.0934,2.0,9144.0,0.0,0.0,0.047670607
17,2022-11-11 13:00:00,13.3333,75.0,8.88889,101.0,3.70149,0.0,16.0934,33.0,9144.0,0.0,0.0,-0.04517326
18,2022-11-11 14:00:00,12.7778,76.0,8.88889,111.0,3.70149,0.0,16.0934,64.0,9144.0,0.0,0.0,-0.18969136
19,2022-11-11 15:00:00,12.7778,76.0,8.33333,116.0,3.70149,0.0,16.0934,94.0,9144.0,0.0,0.0,0.00629937
20,2022-11-11 16:00:00,12.2222,75.0,7.77778,114.0,3.70149,0.0,16.0934,92.0,9144.0,0.0,0.0,0.07733707
21,2022-11-11 17:00:00,11.6667,77.0,7.77778,111.0,5.6327,0.0,16.0934,90.0,9144.0,0.0,0.0,0.00608161
22,2022-11-11 18:00:00,11.1111,81.0,7.77778,110.0,5.6327,0.0,16.0934,87.0,9144.0,0.0,0.0,0.0052759657
23,2022-11-11 19:00:00,10.5556,85.0,8.33333,110.0,5.6327,0.0,16.0934,90.0,9144.0,0.0,0.0,-0.06120248
24,2022-11-11 20:00:00,10.0,91.0,8.88889,111.0,5.6327,0.0,16.0934,93.0,9144.0,0.0,0.0,-0.05052717
25,2022-11-11 21:00:00,11.1111,87.0,8.88889,113.0,5.6327,0.0,16.0934,95.0,9144.0,0.0,0.0,-0.034367945
