,pv_id,time,amount
0,0,2022-11-11T16:00:00+00:00,0.0
1,1,2022-11-11T16:00:00+00:00,0.0
2,2,2022-11-11T16:00:00+00:00,0.0
3,3,2022-11-11T16:00:00+00:00,0.0
4,4,2022-11-11T16:00:00+00:00,0.0
5,5,2022-11-11T16:00:00+00:00,0.0
6,6,2022-11-11T16:00:00+00:00,0.009
7,7,2022-11-11T16:00:00+00:00,0.012
8,8,2022-11-11T16:00:00+00:00,0.0
9,9,2022-11-11T16:00:00+00:00,0.0
10,10,2022-11-11T16:00:00+00:00,0.0
11,11,2022-11-11T16:00:00+00:00,0.0
12,12,2022-11-11T16:00:00+00:00,0.0
13,13,2022-11-11T16:00:00+00:00,0.0
14,14,2022-11-11T16:00:00+00:00,0.0
15,15,2022-11-11T16:00:00+00:00,0.0
16,16,2022-11-11T16:00:00+00:00,0.0
17,17,2022-11-11T16:00:00+00:00,0.0
18,18,2022-11-11T16:00:00+00:00,0.012
19,19,2022-11-11T16:00:00+00:00,0.0
20,20,2022-11-11T16:00:00+00:00,0.004
21,0,2022-11-11T17:00:00+00:00,0.0
22,1,2022-11-11T17:00:00+00:00,0.0
23,2,2022-11-11T17:00:00+00:00,0.0
24,3,2022-11-11T17:00:00+00:00,0.0
25,4,2022-11-11T17:00:00+00:00,0.0
26,5,2022-11-11T17:00:00+00:00,0.0
27,6,2022-11-11T17:00:00+00:00,0.009
28,7,2022-11-11T17:00:00+00:00,0.016
29,8,2022-11-11T17:00:00+00:00,0.0
30,9,2022-11-11T17:00:00+00:00,0.0
31,10,2022-11-11T17:00:00+00:00,0.0
32,11,2022-11-11T17:00:00+00:00,0.0
33,12,2022-11-11T17:00:00+00:00,0.0
34,13,2022-11-11T17:00:00+00:00,0.0
35,14,2022-11-11T17:00:00+00:00,0.0
36,15,2022-11-11T17:00:00+00:00,0.0
37,16,2022-11-11T17:00:00+00:00,0.0
38,17,2022-11-11T17:00:00+00:00,0.0
39,18,2022-11-11T17:00:00+00:00,0.016
40,19,2022-11-11T17:00:00+00:00,0.0
41,20,2022-11-11T17:00:00+00:00,0.0
42,0,2022-11-11T18:00:00+00:00,0.0
43,1,2022-11-11T18:00:00+00:00,0.0
44,2,2022-11-11T18:00:00+00:00,0.0
45,3,2022-11-11T18:00:00+00:00,0.0
46,4,2022-11-11T18:00:00+00:00,0.0
47,5,2022-11-11T18:00:00+00:00,0.0
48,6,2022-11-11T18:00:00+00:00,0.009
49,7,2022-11-11T18:00:00+00:00,0.012
50,8,2022-11-11T18:00:00+00:00,0.0
51,9,2022-11-11T18:00:00+00:00,0.0
52,10,2022-11-11T18:00:00+00:00,0.0
53,11,2022-11-11T18:00:00+00:00,0.0
54,12,2022-11-11T18:00:00+00:00,0.0
55,13,2022-11-11T18:00:00+00:00,0.0
56,14,2022-11-11T18:00:00+00:00,0.0
57,15,2022-11-11T18:00:00+00:00,0.0
58,16,2022-11-11T18:00:00+00:00,0.0
59,17,2022-11-11T18:00:00+00:00,0.0
60,18,2022-11-11T18:00:00+00:00,0.012
61,19,2022-11-11T18:00:00+00:00,0.0
62,20,2022-11-11T18:00:00+00:00,0.0
63,0,2022-11-11T19:00:00+00:00,0.0
64,1,2022-11-11T19:00:00+00:00,0.0
65,2,2022-11-11T19:00:00+00:00,0.0
66,3,2022-11-11T19:00:00+00:00,0.0
67,4,2022-11-11T19:00:00+00:00,0.0
68,5,2022-11-11T19:00:00+00:00,0.0
69,6,2022-11-11T19:00:00+00:00,0.009
70,7,2022-11-11T19:00:00+00:00,0.016
71,8,2022-11-11T19:00:00+00:00,0.0
72,9,2022-11-11T19:00:00+00:00,0.0
73,10,2022-11-11T19:00:00+00:00,0.0
74,11,2022-11-11T19:00:00+00:00,0.0
75,12,2022-11-11T19:00:00+00:00,0.0
76,13,2022-11-11T19:00:00+00:00,0.0
77,14,2022-11-11T19:00:00+00:00,0.0
78,15,2022-11-11T19:00:00+00:00,0.0
79,16,2022-11-11T19:00:00+00:00,0.0
80,17,2022-11-11T19:00:00+00:00,0.0
81,18,2022-11-11T19:00:00+00:00,0.016
82,19,2022-11-11T19:00:00+00:00,0.0
83,20,2022-11-11T19:00:00+00:00,0.0
84,0,2022-11-11T20:00:00+00:00,0.0
85,1,2022-11-11T20:00:00+00:00,0.0
86,2,2022-11-11T20:00:00+00:00,0.0
87,3,2022-11-11T20:00:00+00:00,0.0
88,4,2022-11-11T20:00:00+00:00,0.0
89,5,2022-11-11T20:00:00+00:00,0.0
90,6,2022-11-11T20:00:00+00:00,0.012
91,7,2022-11-11T20:00:00+00:00,0.016
92,8,2022-11-11T20:00:00+00:00,0.0
93,9,2022-11-11T20:00:00+00:00,0.0
94,10,2022-11-11T20:00:00+00:00,0.0
95,11,2022-11-11T20:00:00+00:00,0.0
96,12,2022-11-11T20:00:00+00:00,0.0
97,13,2022-11-11T20:00:00+00:00,0.0
98,14,2022-11-11T20:00:00+00:00,0.0
99,15,2022-11-11T20:00:00+00:00,0.0
100,16,2022-11-11T20:00:00+00:00,0.0
101,17,2022-11-11T20:00:00+00:00,0.0
102,18,2022-11-11T20:00:00+00:00,0.016
103,19,2022-11-11T20:00:00+00:00,0.0
104,20,2022-11-11T20:00:00+00:00,0.0
105,0,2022-11-11T21:00:00+00:00,0.0
106,1,2022-11-11T21:00:00+00:00,0.0
107,2,2022-11-11T21:00:00+00:00,0.0
108,3,2022-11-11T21:00:00+00:00,0.0
109,4,2022-11-11T21:00:00+00:00,0.0
110,5,2022-11-11T21:00:00+00:00,0.0
111,6,2022-11-11T21:00:00+00:00,0.009
112,7,2022-11-11T21:00:00+00:00,0.012
113,8,2022-11-11T21:00:00+00:00,0.0
114,9,2022-11-11T21:00:00+00:00,0.0
115,10,2022-11-11T21:00:00+00:00,0.0
116,11,2022-11-11T21:00:00+00:00,0.0
117,12,2022-11-11T21:00:00+00:00,0.0
118,13,2022-11-11T21:00:00+00:00,0.0
119,14,2022-11-11T21:00:00+00:00,0.0
120,15,2022-11-11T21:00:00+00:00,0.0
121,16,2022-11-11T21:00:00+00:00,0.0
122,17,2022-11-11T21:00:00+00:00,0.0
123,18,2022-11-11T21:00:00+00:00,0.012
124,19,2022-11-11T21:00:00+00:00,0.0
125,20,2022-11-11T21:00:00+00:00,0.0
126,0,2022-11-11T22:00:00+00:00,0.0
127,1,2022-11-11T22:00:00+00:00,0.0
128,2,2022-11-11T22:00:00+00:00,0.0
129,3,2022-11-11T22:00:00+00:00,0.0
130,4,2022-11-11T22:00:00+00:00,0.0
131,5,2022-11-11T22:00:00+00:00,0.0
132,6,2022-11-11T22:00:00+00:00,0.009
133,7,2022-11-11T22:00:00+00:00,0.016
134,8,2022-11-11T22:00:00+00:00,0.0
135,9,2022-11-11T22:00:00+00:00,0.0
136,10,2022-11-11T22:00:00+00:00,0.0
137,11,2022-11-11T22:00:00+00:00,0.0
138,12,2022-11-11T22:00:00+00:00,0.0
139,13,2022-11-11T22:00:00+00:00,0.0
140,14,2022-11-11T22:00:00+00:00,0.0
141,15,2022-11-11T22:00:00+00:00,0.0
142,16,2022-11-11T22:00:00+00:00,0.0
143,17,2022-11-11T22:00:00+00:00,0.0
144,18,2022-11-11T22:00:00+00:00,0.016
145,19,2022-11-11T22:00:00+00:00,0.0
146,20,2022-11-11T22:00:00+00:00,0.0
147,0,2022-11-11T23:00:00+00:00,5.7
148,1,2022-11-11T23:00:00+00:00,0.139
149,2,2022-11-11T23:00:00+00:00,1.696
150,3,2022-11-11T23:00:00+00:00,1.672
151,4,2022-11-11T23:00:00+00:00,2.108
152,5,2022-11-11T23:00:00+00:00,1.093
153,6,2022-11-11T23:00:00+00:00,0.477
154,7,2022-11-11T23:00:00+00:00,0.4
155,8,2022-11-11T23:00:00+00:00,0.382
156,9,2022-11-11T23:00:00+00:00,0.118
157,10,2022-11-11T23:00:00+00:00,2.84
158,11,2022-11-11T23:00:00+00:00,2.1
159,12,2022-11-11T23:00:00+00:00,1.636
160,13,2022-11-11T23:00:00+00:00,2.944
161,14,2022-11-11T23:00:00+00:00,2.216
162,15,2022-11-11T23:00:00+00:00,2.036
163,16,2022-11-11T23:00:00+00:00,3.052
164,17,2022-11-11T23:00:00+00:00,9.648
165,18,2022-11-11T23:00:00+00:00,1.684
166,19,2022-11-11T23:00:00+00:00,6.228
167,20,2022-11-11T23:00:00+00:00,0.076
168,0,2022-11-12T00:00:00+00:00,17.2
169,1,2022-11-12T00:00:00+00:00,0.865
170,2,2022-11-12T00:00:00+00:00,8.576
171,3,2022-11-12T00:00:00+00:00,9.1
